Species;trait
Anolis_ahli;TG
Anolis_allogus;TG
Anolis_rubribarbus;TG
Anolis_imias;TG
Anolis_sagrei;TG
Anolis_bremeri;TG
Anolis_quadriocellifer;TG
Anolis_ophiolepis;GB
Anolis_mestrei;TG
Anolis_jubar;TG
Anolis_homolechis;TG
Anolis_confusus;TG
Anolis_guafe;TG
Anolis_garmani;CG
Anolis_opalinus;TC
Anolis_grahami;TC
Anolis_valencienni;Tw
Anolis_lineatopus;TG
Anolis_evermanni;TC
Anolis_stratulus;TC
Anolis_krugi;GB
Anolis_pulchellus;GB
Anolis_gundlachi;TG
Anolis_poncensis;GB
Anolis_cooki;TG
Anolis_cristatellus;TG
Anolis_brevirostris;Tr
Anolis_caudalis;Tr
Anolis_marron;Tr
Anolis_websteri;Tr
Anolis_distichus;Tr
Anolis_alumina;GB
Anolis_semilineatus;GB
Anolis_olssoni;GB
Anolis_insolitus;Tw
Anolis_whitemani;TG
Anolis_haetianus;TG
Anolis_breslini;TG
Anolis_armouri;TG
Anolis_cybotes;TG
Anolis_shrevei;TG
Anolis_longitibialis;TG
Anolis_strahmi;TG
Anolis_marcanoi;TG
Anolis_baleatus;CG
Anolis_barahonae;CG
Anolis_ricordii;CG
Anolis_cuvieri;CG
Anolis_altitudinalis;TC
Anolis_oporinus;TC
Anolis_isolepis;TC
Anolis_allisoni;TC
Anolis_porcatus;TC
Anolis_loysiana;Tr
Anolis_guazuma;Tw
Anolis_placidus;Tw
Anolis_sheplani;Tw
Anolis_alayoni;Tw
Anolis_angusticeps;Tw
Anolis_paternus;Tw
Anolis_alutaceus;GB
Anolis_inexpectatus;GB
Anolis_clivicola;GB
Anolis_cupeyalensis;GB
Anolis_cyanopleurus;GB
Anolis_alfaroi;GB
Anolis_macilentus;GB
Anolis_vanidicus;GB
Anolis_baracoae;CG
Anolis_noblei;CG
Anolis_smallwoodi;CG
Anolis_luteogularis;CG
Anolis_equestris;CG
Anolis_bahorucoensis;GB
Anolis_dolichocephalus;GB
Anolis_hendersoni;GB
Anolis_darlingtoni;Tw
Anolis_aliniger;TC
Anolis_singularis;TC
Anolis_chlorocyanus;TC
Anolis_coelestinus;TC
Anolis_occultus;Tw
